"parameters.design"	"parameters.trt"	"parameters.r"	"parameters.serie"	"parameters.seed"	"parameters.kinds"	"parameters.TRUE"	"sketch.1"	"sketch.2"	"sketch.3"	"sketch.4"	"sketch.5"	"sketch.6"	"sketch.7"	"sketch.8"	"sketch.9"	"book.plots"	"book.block"	"book.trt"
"rcbd"	"100"	6	1	1	"default"	TRUE	"0"	"1"	"100"	"10"	"50"	"5"	"20"	"2"	"Dina"	58	"5"	"1"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"5"	"50"	"100"	"1"	"Dina"	"0"	"10"	"2"	"20"	59	"5"	"Dina"
"rcbd"	"0"	6	1	1	"default"	TRUE	"5"	"50"	"2"	"100"	"20"	"1"	"0"	"Dina"	"10"	61	"6"	"100"
"rcbd"	"1"	6	1	1	"default"	TRUE	"100"	"0"	"20"	"2"	"10"	"50"	"5"	"1"	"Dina"	62	"6"	"0"
"rcbd"	"2"	6	1	1	"default"	TRUE	"100"	"0"	"5"	"10"	"50"	"1"	"2"	"Dina"	"20"	63	"6"	"5"
"rcbd"	"5"	6	1	1	"default"	TRUE	"2"	"Dina"	"10"	"20"	"1"	"5"	"100"	"50"	"0"	64	"6"	"10"
"rcbd"	"10"	6	1	1	"default"	TRUE	"0"	"1"	"100"	"10"	"50"	"5"	"20"	"2"	"Dina"	65	"6"	"50"
"rcbd"	"20"	6	1	1	"default"	TRUE	"5"	"50"	"100"	"1"	"Dina"	"0"	"10"	"2"	"20"	66	"6"	"1"
"rcbd"	"50"	6	1	1	"default"	TRUE	"5"	"50"	"2"	"100"	"20"	"1"	"0"	"Dina"	"10"	67	"6"	"2"
"rcbd"	"100"	6	1	1	"default"	TRUE	"100"	"0"	"20"	"2"	"10"	"50"	"5"	"1"	"Dina"	68	"6"	"Dina"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"100"	"0"	"5"	"10"	"50"	"1"	"2"	"Dina"	"20"	69	"6"	"20"
